Name, Area, Zone, Level, Cost, Type, Description,
Curfalaka, Gondor, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Mordor, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Rhun, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Rohvannion, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Harad, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curfalaka, Khand, Swamp, DIFICIL, 250gp, ingest, Fully heals a damaged muscle in 1d20 minutes.  during this time the body functions accelerate rendering the patient useless and screaming. If eaten without injuries treat it as poison RR stam Extremely hard.  might couse heartattack and strokes,
Curuloth, Eriador, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Rohan, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Gondor, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Mordor, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Rhun, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Rohvannion, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Harad, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Curuloth, Khand, Swamp, DIFICIL, 75gp, paste, Mixed with ingestion herbs it allows its properties to be trasfered to a paste.  so to be used in injections or weapons,
Dagmather, Eriador, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Dagmather, Rohan, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Dagmather, Rohvannion, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Dagmather, Gondor, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Dagmather, Rhun, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Dagmather, Khand, Plains, DIFICIL, 28 gp, boiled, Heals all cartilage damage in 1h,
Deadly Akra, Eriador, Underground, DIFICIL, 32gp, paste, Mushroom pioson. RR stam Hard.  if passed causes - 1d10 act.  if failed it causes 2-20 hits and - (30 - Co total) activity, ,Deadly Akra, Gondor, Underground, DIFICIL, 32gp, paste, Mushroom pioson. RR stam Hard.  if passed causes - 1d10 act.  if failed it causes 2-20 hits and - (30 - Co total) activity,
Deadly Akra, Rhun, Underground, DIFICIL, 32gp, paste, Mushroom pioson. RR stam Hard.  if passed causes - 1d10 act.  if failed it causes 2-20 hits and - (30 - Co total) activity,
Deadly Akra, Rohvannion, Underground, DIFICIL, 32gp, paste, Mushroom pioson. RR stam Hard.  if passed causes - 1d10 act.  if failed it causes 2-20 hits and - (30 - Co total) activity,
Deadly Akra, Khand, Underground, DIFICIL, 32gp, paste, Mushroom pioson. RR stam Hard.  if passed causes - 1d10 act.  if failed it causes 2-20 hits and - (30 - Co total) activity,
Degk, Eriador, Seaside, SHEERF, 250gp, ingest, Stabilizes anyone for 24h no matter the injured the person is.  if not properly healed int hat time the person dies a horribly painfull death.,
Degk, Gondor, Seaside, SHEERF, 250gp, ingest, Stabilizes anyone for 24h no matter the injured the person is.  if not properly healed int hat time the person dies a horribly painfull death.,
Degk, Harad, Seaside, SHEERF, 250gp, ingest, Stabilizes anyone for 24h no matter the injured the person is.  if not properly healed int hat time the person dies a horribly painfull death.,
Delrean, Eriador, Plains, VEASY, 4bp, paste, repelent for insects. if mixed with alcohol and lighten on fire it attracts orcs and trolls in a 1 mile radius., ,Delrean, Rohvannion, Plains, VEASY, 4bp, paste, repelent for insects. if mixed with alcohol and lighten on fire it attracts orcs and trolls in a 1 mile radius.,
Delrean, Rhun, Plains, VEASY, 4bp, paste, repelent for insects. if mixed with alcohol and lighten on fire it attracts orcs and trolls in a 1 mile radius.,
Dinfuin, Rohvannion, Coniferous Forest, VHARD, 20 gp, paste, Used for creating posh matresses.  if crushed and bolied fresh the paste can cause amnesia for 1d100 days.  RR stam Vhard,
Dogmallow, Gondor, Swamp, NORMAL, 15gp, boiled, Boiled for 30 mins slows the effects of all poisons x10 times,
Dogmallow, Rohvannion, Swamp, NORMAL, 15gp, boiled, Boiled for 30 mins slows the effects of all poisons x10 times,
Dogmallow, Eriador, Swamp, NORMAL, 15gp, boiled, Boiled for 30 mins slows the effects of all poisons x10 times,
Dogmallow, Rhun, Swamp, NORMAL, 15gp, boiled, Boiled for 30 mins slows the effects of all poisons x10 times,
Draf, Gondor, Seaside, FACIL, 5sp, ingest, The leaf restores 1d10 hits if the patient doesn't do any fisical effort. Each additional dose heals half of what the last one did,
Draf, Harad, Seaside, FACIL, 5sp, ingest, The leaf restores 1d10 hits if the patient doesn't do any fisical effort. Each additional dose heals half of what the last one did,
Draf, Eriador, Seaside, FACIL, 5sp, ingest, The leaf restores 1d10 hits if the patient doesn't do any fisical effort. Each additional dose heals half of what the last one did,
Dragon Grass, Eriador, Mountains, FACIL, 5sp, paste, applied to burn injuries negates the -act penalty of the wounds.  lasts for 12h,
Dragon Grass, Anduin Vale, Mountains, FACIL, 5sp, paste, applied to burn injuries negates the -act penalty of the wounds.  lasts for 12h,
Dragul, Harad, Rain Forest, NORMAL, 25gp, ingest, Grant +10 to all activities that recquire a good perception.  lasts for 1h.  no more than 2 + Co total can be ingested per year without causing addiction,
Crapola, Eriador, Underground, DIFICIL, 12gp, ingest, Hallucinating fungi.  gives -15 to all perception maneuvers but grants a +5 to all reasoning skills for 2h. More than 1 a month cause addiction,
Dwarves eyesight, Rohan, Mountains, EHARD, 3gp, ingest, Gives nightvision up to 50' and +10 to perception.  after its use the white part of the eyes turns purple and if used too frequent the effect can be permanent,
Dwarves eyesight, Gondor, Mountains, EHARD, 3gp, ingest, Gives nightvision up to 50' and +10 to perception.  after its use the white part of the eyes turns purple and if used too frequent the effect can be permanent,
Dynallca, Harad, Seaside, VEASY, 14gp, ingest, the victim has to eat 3doses and make a Hard RR stam or he looses all hearing capabilities for a week during the next 10 minutes,
Earthbread, Eriador, Mountains, FACIL, 2sp, preparation, root used to create the dwarven waybread.  each root allows to create a bread that can feed a person for 1 week.  the proccess of baking it is a dwarven secret,
Ebur, Gondor, Seaside, NORMAL, 55sp, paste, applied to a sprain it can heal it completely in 24h if the patient is inmobilized,
Ebur, Eriador, Seaside, NORMAL, 55sp, paste, applied to a sprain it can heal it completely in 24h if the patient is inmobilized,
Eddij, Harad, Rain Forest, SHEERF, 560gp, liquid, Crushed on a deadly wounded patient it can keep him in a coma for 2d20 hours during which he won't get any worse.,
Edram, Eriador, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Edram, Rohan, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Edram, Rohvannion, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Edram, Gondor, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Edram, Rhun, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Edram, Anduin Vale, River shores, SHEERF, 50gp, ingest, heals any non shattered bones previously set back into position in 10h.  it has to be eaten in the same week  it was collected,
Snakeweed, Rhun, Lake shores, DIFICIL, 5gp, boiled, Has to be kept under watter at all times or it loses its properties in 5h.  the steam it releases as being boiled heals any muscular damage in 10 minutes.  but the patient cannot move that part in 48h or he will have permanent damage,
Snakeweed, Eriador, Lake shores, DIFICIL, 5gp, boiled, Has to be kept under watter at all times or it loses its properties in 5h.  the steam it releases as being boiled heals any muscular damage in 10 minutes.  but the patient cannot move that part in 48h or he will have permanent damage,
Elbin's Basket, Eriador, Plains, SHEERF, 15gp, preparation, Complex process takes about 3 days and an alchemist equipment in order to make the dose.  it gives the user x2 actions in one turn for 10 turns and then the users body collapses for 1h at -70 act,
Elbin's Basket, Gondor, Plains, SHEERF, 15gp, preparation, Complex process takes about 3 days and an alchemist equipment in order to make the dose.  it gives the user x2 actions in one turn for 10 turns and then the users body collapses for 1h at -70 act,
Elbin's Basket, Rhun, Plains, SHEERF, 15gp, preparation, Complex process takes about 3 days and an alchemist equipment in order to make the dose.  it gives the user x2 actions in one turn for 10 turns and then the users body collapses for 1h at -70 act,
Elbin's Basket, Rohan, Plains, SHEERF, 15gp, preparation, Complex process takes about 3 days and an alchemist equipment in order to make the dose.  it gives the user x2 actions in one turn for 10 turns and then the users body collapses for 1h at -70 act,
Elbin's Basket, Rohvannion, Plains, SHEERF, 15gp, preparation, Complex process takes about 3 days and an alchemist equipment in order to make the dose.  it gives the user x2 actions in one turn for 10 turns and then the users body collapses for 1h at -70 act,
Elendil's Basket, Forochel, Plains, EHARD, 8gp, ingest, found onlyd uring summer.  slows x10 times poisons effects and purifies 10lt of tainted water in 5 mins,
Estesalque, Eriador, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Estesalque, Gondor, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Estesalque, Rhun, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Estesalque, Rohan, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Estesalque, Rohvannion, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Estesalque, Forochel, Plains, NORMAL, 9gp, ingest, the liquid acts as a powerfull anesthesic used for surgeries.  negates all local fisical pain but gives the user -10 to In and Ag for 5h,
Goldenblow, Eriador, Mountains, VHARD, 20 GP, boiled, The tea allows to negate all effects of cold climates for 2h. gives -5 to all Ag maneuvers,
Goldenblow, Anduin Vale, Mountains, VHARD, 20 GP, boiled, The tea allows to negate all effects of cold climates for 2h. gives -5 to all Ag maneuvers,
Goldenblow, Rohan, Mountains, VHARD, 20 GP, boiled, The tea allows to negate all effects of cold climates for 2h. gives -5 to all Ag maneuvers,
Goldenblow, Gondor, Mountains, VHARD, 20 GP, boiled, The tea allows to negate all effects of cold climates for 2h. gives -5 to all Ag maneuvers,
Fangorth, Eriador, Underground, EHARD, 65gp, powder, the powder of this unreachable plant if inhaled sends a person to sleep for 1d6 +4 hours (RR stam Extremely Hard),
Febfendu, Eriador, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Febfendu, Rohan, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Febfendu, Rohvannion, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Febfendu, Gondor, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Febfendu, Rhun, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Febfendu, Anduin Vale, River shores, EHARD, 80gp, paste, if the paste is applied to a damaged ear.  the person will recover its hearing abilities in 1 week.   doesnt work if the person was born deaf.,
Felmather, Eriador, Seaside, ROUTINE, 2sp, ingest, underwater seaweed needs to be chewed for 1h to be able to sent a mental SOS to a friend no matter how far away he is. The person will just lnow that the user needs help,
Felmather, Gondor, Seaside, ROUTINE, 2sp, ingest, underwater seaweed needs to be chewed for 1h to be able to sent a mental SOS to a friend no matter how far away he is. The person will just lnow that the user needs help,
Felmather, Harad, Seaside, ROUTINE, 2sp, ingest, underwater seaweed needs to be chewed for 1h to be able to sent a mental SOS to a friend no matter how far away he is. The person will just lnow that the user needs help,
Rangerboom, Eriador, Coniferous Forest, VHARD, 35gp, ingest, The user knows everytime where the north is.  thus granting a +20 bonus to navigation maneuvers for 1d4 days,
Rangerboom, Gondor, Coniferous Forest, VHARD, 35gp, ingest, The user knows everytime where the north is.  thus granting a +20 bonus to navigation maneuvers for 1d4 days,
Rangerboom, Rhun, Coniferous Forest, VHARD, 35gp, ingest, The user knows everytime where the north is.  thus granting a +20 bonus to navigation maneuvers for 1d4 days,
Firebreath, Eriador, Plains, NORMAL, 10gp, paste, the powder must be mixed with the patients own blood and applied to any bleeding wound.  it will instantly heal 1d10 hits per round of bleeding. NO other herb for this purpose might be used and no more than one can be used in a day,
Firebreath, Gondor, Plains, NORMAL, 10gp, paste, the powder must be mixed with the patients own blood and applied to any bleeding wound.  it will instantly heal 1d10 hits per round of bleeding. NO other herb for this purpose might be used and no more than one can be used in a day,
Firebreath, Rhun, Plains, NORMAL, 10gp, paste, the powder must be mixed with the patients own blood and applied to any bleeding wound.  it will instantly heal 1d10 hits per round of bleeding. NO other herb for this purpose might be used and no more than one can be used in a day,
Firebreath, Rohan, Plains, NORMAL, 10gp, paste, the powder must be mixed with the patients own blood and applied to any bleeding wound.  it will instantly heal 1d10 hits per round of bleeding. NO other herb for this purpose might be used and no more than one can be used in a day,
Firebreath, Rohvannion, Plains, NORMAL, 10gp, paste, the powder must be mixed with the patients own blood and applied to any bleeding wound.  it will instantly heal 1d10 hits per round of bleeding. NO other herb for this purpose might be used and no more than one can be used in a day,
Fishfeather, Eriador, Seaside, NORMAL, 5sp, ingest, must be kept in salty water.  each one heals for 1d4 hits and many can be consumed per day (2xCo stat),
Fishfeather, Gondor, Seaside, NORMAL, 5sp, ingest, must be kept in salty water.  each one heals for 1d4 hits and many can be consumed per day (2xCo stat),
Fishfeather, Harad, Seaside, NORMAL, 5sp, ingest, must be kept in salty water.  each one heals for 1d4 hits and many can be consumed per day (2xCo stat),
Flameroot, Eriador, Underground, NORMAL, 10gp, boiled, Doubles the hit point recovery rate.  effect lasts for 12h,
Flameroot, Rohan, Decidious Forest, VHARD, 10gp, boiled, Doubles the hit point recovery rate.  effect lasts for 12h,
Flameroot, Rohvannion, coniferous Forest, EHARD, 10gp, boiled, Doubles the hit point recovery rate.  effect lasts for 12h,
Fleabane, Rohan, Mountains, NORMAL, 2bp, paste, Cooked into a paste one dose works as a repelent for bloodsucking insects for 48h,
Fleabane, Gondor, Mountains, NORMAL, 2bp, paste, Cooked into a paste one dose works as a repelent for bloodsucking insects for 48h,
Flur Roirt, Eriador, Gorge, FACIL, 12gp, preparation, mixed and bolied with wine its an antidote for all nerve poisons,
Foxrose, Eriador, Swamp, VHARD, 5gp, ingest, heals 1d12 hits in 5 mins. many can be consumed together, ,Foxrose, Gondor, Swamp, VHARD, 5gp, ingest, heals 1d12 hits in 5 mins. many can be consumed together,
Jojojopo, Eriador, Mountains, VHARD, 55gp, paste, heals any frostbite wounds no matter how bad the wound is. Can only be found in the top of the mountains,
Jojojopo, Gondor, Mountains, VHARD, 55gp, paste, heals any frostbite wounds no matter how bad the wound is. Can only be found in the top of the mountains,
Gaifas, Eriador, Plains, DIFICIL, 9sp, ingest, antidote for the Slota.  Karfar and sarwedhil poisons,
Gaifas, Gondor, Plains, DIFICIL, 9sp, ingest, antidote for the Slota.  Karfar and sarwedhil poisons,
Gaifas, Rhun, Plains, DIFICIL, 9sp, ingest, antidote for the Slota.  Karfar and sarwedhil poisons,
Gaifas, Rohan, Plains, DIFICIL, 9sp, ingest, antidote for the Slota.  Karfar and sarwedhil poisons,
Gaifas, Rohvannion, Plains, DIFICIL, 9sp, ingest, antidote for the Slota.  Karfar and sarwedhil poisons,
Garig, Mordor, Plains, FACIL, 55gp, ingest, Instantly heals 30 hits but is so foul the person has to be forced to eat it.  only 1 per day,
Garig, Harad, Desert, FACIL, 55gp, ingest, Instantly heals 30 hits but is so foul the person has to be forced to eat it.  only 1 per day,
Genful, Mordor, Volcanic, DIFICIL, 90gp, paste, Aplied to a severe wound it will recover 90 hits during the next 24h,
Genful, Gondor, Volcanic, DIFICIL, 90gp, paste, Aplied to a severe wound it will recover 90 hits during the next 24h,
Genful, Rhun, Volcanic, DIFICIL, 90gp, paste, Aplied to a severe wound it will recover 90 hits during the next 24h,
Genful, Rohvannion, Volcanic, DIFICIL, 90gp, paste, Aplied to a severe wound it will recover 90 hits during the next 24h,
Gnosh, Gondor, Decidious Forest, EHARD, given, ingest, The wooses make the secret berry that allows to double your travel resistances.  they wont give the recipe,
Golden Cress, Gondor, River shores, NORMAL, 5gp, paste, closes bleeding 1d4 hits in 1d4 turns.  only one per wound,
